CMDLINE /home/victorio/miniconda3/bin/python main.py ../../test/numbers.txt results.txt results.pdf
MEM 1.828125 1589871192.2692
MEM 26.984375 1589871192.3759
MEM 44.082031 1589871192.4824
MEM 74.269531 1589871192.5891
MEM 102.402344 1589871192.6956
MEM 111.195312 1589871192.8022
MEM 113.472656 1589871192.9185
MEM 113.472656 1589871193.0358
MEM 113.472656 1589871193.1532
MEM 113.472656 1589871193.2705
MEM 113.472656 1589871193.3877
MEM 113.472656 1589871193.5052
MEM 113.472656 1589871193.6226
MEM 113.472656 1589871193.7400
MEM 113.472656 1589871193.8507
MEM 113.472656 1589871193.9682
MEM 113.472656 1589871194.0857
MEM 113.472656 1589871194.2031
MEM 113.472656 1589871194.3205
MEM 113.472656 1589871194.4332
MEM 113.472656 1589871194.5505
MEM 113.472656 1589871194.6677
MEM 113.472656 1589871194.7851
MEM 113.558594 1589871194.8932
MEM 113.558594 1589871195.0106
MEM 113.558594 1589871195.1280
MEM 113.558594 1589871195.2454
MEM 113.558594 1589871195.3627
MEM 113.558594 1589871195.4800
MEM 113.558594 1589871195.5975
MEM 113.558594 1589871195.7149
MEM 113.558594 1589871195.8323
MEM 119.214844 1589871195.9391
MEM 119.214844 1589871196.0565
MEM 119.214844 1589871196.1739
MEM 119.214844 1589871196.2913
MEM 119.214844 1589871196.4086
MEM 119.214844 1589871196.5259
MEM 119.214844 1589871196.6346
MEM 119.214844 1589871196.7521
MEM 119.214844 1589871196.8694
MEM 119.214844 1589871196.9890
MEM 119.214844 1589871197.1062
MEM 119.214844 1589871197.2235
MEM 119.214844 1589871197.3409
MEM 119.214844 1589871197.4582
MEM 119.214844 1589871197.5756
MEM 119.214844 1589871197.6930
MEM 119.214844 1589871197.8104
MEM 119.214844 1589871197.9259
MEM 126.289062 1589871198.0326
FUNC utils.remove_duplicates_1 113.4727 1589871193.8598 113.5586 1589871194.8745
FUNC utils.remove_duplicates_2 113.5586 1589871194.8746 119.2148 1589871195.8960
FUNC utils.remove_duplicates_3 119.2148 1589871195.8964 119.2148 1589871196.9177
FUNC utils.remove_duplicates_4 119.2148 1589871196.9185 122.1094 1589871197.9481
FUNC utils.remove_duplicates_5 122.1094 1589871197.9489 123.9258 1589871199.0279
FUNC utils.remove_duplicates_6 107.5586 1589871192.7136 113.4727 1589871193.8294
FUNC utils.remove_duplicates_6 121.6758 1589871199.0314 123.4766 1589871200.1512
MEM 126.289062 1589871198.1507
MEM 126.289062 1589871198.2680
MEM 126.289062 1589871198.3853
MEM 126.289062 1589871198.5025
MEM 126.289062 1589871198.6196
MEM 126.289062 1589871198.7370
MEM 126.289062 1589871198.8541
MEM 126.289062 1589871198.9666
MEM 121.675781 1589871199.0745
MEM 123.476562 1589871199.1812
MEM 123.476562 1589871199.2911
MEM 123.476562 1589871199.4087
MEM 123.476562 1589871199.5260
MEM 123.476562 1589871199.6433
MEM 123.476562 1589871199.7605
MEM 123.476562 1589871199.8779
MEM 123.476562 1589871199.9952
MEM 123.476562 1589871200.1125
MEM 132.714844 1589871200.2199
MEM 125.464844 1589871200.3269
